Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,21,73361,6051627,Marin,Shoreline Unified,Bodega Bay Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,25,13,52.00%,13,52.00%,25,13,52.00%,13,52.00%,Y
2016-2017,21,75002,1,Marin,Ross Valley Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,8,1,12.50%,1,12.50%,8,1,12.50%,1,12.50%,Y
2016-2017,21,75002,124578,Marin,Ross Valley Elementary,Hidden Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,334,25,7.50%,27,8.10%,334,25,7.50%,27,8.10%,Y
2016-2017,21,75002,6024277,Marin,Ross Valley Elementary,Manor Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,356,44,12.40%,52,14.60%,356,44,12.40%,52,14.60%,Y
2016-2017,21,75002,6024285,Marin,Ross Valley Elementary,White Hill Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,789,54,6.80%,64,8.10%,789,54,6.80%,64,8.10%,Y
2016-2017,21,75002,6024681,Marin,Ross Valley Elementary,Brookside Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,354,12,3.40%,14,4.00%,330,12,3.60%,14,4.20%,Y
2016-2017,21,75002,6024731,Marin,Ross Valley Elementary,Wade Thomas Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,392,30,7.70%,30,7.70%,392,30,7.70%,30,7.70%,Y
2016-2017,22,10223,6105308,Mariposa,Mariposa County Office of Education,Monarch Academy,County Office of Education (COE),Special Education Schools (Public),Special Education School,,No ,,,N,K,12,48,24,50.00%,29,60.40%,40,22,55.00%,25,62.50%,Y
2016-2017,22,65532,1,Mariposa,Mariposa County Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,Y
2016-2017,22,65532,125823,Mariposa,Mariposa County Unified,Sierra Foothill Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,1396,Directly funded,Y,K,8,136,44,32.40%,53,39.00%,132,43,32.60%,51,38.60%,Y
2016-2017,22,65532,132258,Mariposa,Mariposa County Unified,Greeley Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,61,47,77.00%,53,86.90%,60,47,78.30%,52,86.70%,Y
2016-2017,22,65532,2230035,Mariposa,Mariposa County Unified,Spring Hill High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,12,9,75.00%,9,75.00%,12,9,75.00%,9,75.00%,Y
2016-2017,22,65532,2230068,Mariposa,Mariposa County Unified,Sierra Home,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,32,11,34.40%,12,37.50%,28,11,39.30%,11,39.30%,Y
2016-2017,22,65532,2230076,Mariposa,Mariposa County Unified,Coulterville High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,3,1,33.30%,2,66.70%,3,1,33.30%,2,66.70%,Y
2016-2017,22,65532,2230084,Mariposa,Mariposa County Unified,Yosemite Park High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,3,1,33.30%,3,100.00%,3,1,33.30%,3,100.00%,Y
2016-2017,22,65532,2235356,Mariposa,Mariposa County Unified,Mariposa County High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,510,196,38.40%,237,46.50%,486,181,37.20%,221,45.50%,Y
2016-2017,22,65532,6025001,Mariposa,Mariposa County Unified,Yosemite National Park El Portal,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,86,27,31.40%,38,44.20%,86,27,31.40%,38,44.20%,Y
2016-2017,22,65532,6025035,Mariposa,Mariposa County Unified,Mariposa Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,397,224,56.40%,247,62.20%,387,218,56.30%,241,62.30%,Y
2016-2017,22,65532,6025050,Mariposa,Mariposa County Unified,Woodland Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,401,155,38.70%,190,47.40%,401,155,38.70%,190,47.40%,Y
2016-2017,22,65532,6025068,Mariposa,Mariposa County Unified,Yosemite National Park Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,28,3,10.70%,5,17.90%,25,3,12.00%,5,20.00%,Y
2016-2017,22,65532,6103477,Mariposa,Mariposa County Unified,Lake Don Pedro Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,171,92,53.80%,109,63.70%,168,90,53.60%,106,63.10%,Y
2016-2017,23,10231,110023,Mendocino,Mendocino County Office of Education,Orr Creek,County Office of Education (COE),K-12 Schools (Public),Opportunity School,,No ,,,N,K,12,9,6,66.70%,9,100.00%,9,6,66.70%,9,100.00%,Y
2016-2017,23,10231,2330124,Mendocino,Mendocino County Office of Education,West Hills Juvenile Hall Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,K,12,18,18,100.00%,18,100.00%,17,17,100.00%,17,100.00%,Y
2016-2017,23,10231,2330447,Mendocino,Mendocino County Office of Education,Mendocino County Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,7,12,47,38,80.90%,39,83.00%,42,34,81.00%,35,83.30%,Y
2016-2017,23,65540,1,Mendocino,Anderson Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2016-2017,23,65540,2330058,Mendocino,Anderson Valley Unified,Rancheria Continuation,Unified School District,Continuation High Schools,Continuation School,Lunch Provision 2,No ,,,N,9,12,13,10,76.90%,10,76.90%,9,7,77.80%,7,77.80%,Y
2016-2017,23,65540,2330900,Mendocino,Anderson Valley Unified,Anderson Valley Junior-Senior High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,,,N,7,12,217,130,59.90%,156,71.90%,212,126,59.40%,152,71.70%,Y
2016-2017,23,65540,6025084,Mendocino,Anderson Valley Unified,Anderson Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,276,188,68.10%,215,77.90%,271,183,67.50%,210,77.50%,Y
2016-2017,23,65557,6025092,Mendocino,Arena Union Elementary,Arena Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,254,156,61.40%,185,72.80%,251,154,61.40%,183,72.90%,Y
2016-2017,23,65557,6116669,Mendocino,Arena Union Elementary,Pacific Community Charter,Elementary School District,K-12 Schools (Public),Traditional,,Yes,192,Directly funded,Y,K,12,59,31,52.50%,40,67.80%,59,31,52.50%,40,67.80%,Y
2016-2017,23,65565,123737,Mendocino,Fort Bragg Unified,Three Rivers Charter,Unified School District,K-12 Schools (Public),Traditional,,Yes,1275,Directly funded,Y,1,12,116,55,47.40%,71,61.20%,116,55,47.40%,71,61.20%,Y
2016-2017,23,65565,2330215,Mendocino,Fort Bragg Unified,Noyo High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,25,19,76.00%,19,76.00%,20,15,75.00%,15,75.00%,Y
2016-2017,23,65565,2330355,Mendocino,Fort Bragg Unified,Lighthouse Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,9,12,27,21,77.80%,24,88.90%,26,20,76.90%,23,88.50%,Y
2016-2017,23,65565,2331361,Mendocino,Fort Bragg Unified,Fort Bragg High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,494,204,41.30%,262,53.00%,477,200,41.90%,258,54.10%,Y
2016-2017,23,65565,6025100,Mendocino,Fort Bragg Unified,Dana Gray Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,3,5,385,225,58.40%,283,73.50%,385,225,58.40%,283,73.50%,Y
2016-2017,23,65565,6025126,Mendocino,Fort Bragg Unified,Redwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,P,2,434,265,61.10%,326,75.10%,415,255,61.40%,313,75.40%,Y
2016-2017,23,65565,6061667,Mendocino,Fort Bragg Unified,Fort Bragg Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,403,192,47.60%,252,62.50%,403,192,47.60%,252,62.50%,Y
2016-2017,23,65565,6119184,Mendocino,Fort Bragg Unified,Shelter Cove,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,4,8,7,6,85.70%,6,85.70%,7,6,85.70%,6,85.70%,Y
2016-2017,23,65573,6025134,Mendocino,Manchester Union Elementary,Manchester Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,47,11,23.40%,23,48.90%,47,11,23.40%,23,48.90%,Y
2016-2017,23,65581,2330090,Mendocino,Mendocino Unified,Mendocino Sunrise High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,14,6,42.90%,6,42.90%,11,4,36.40%,4,36.40%,Y
2016-2017,23,65581,2330306,Mendocino,Mendocino Unified,Mendocino Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,13,5,38.50%,5,38.50%,13,5,38.50%,5,38.50%,Y
2016-2017,23,65581,2333185,Mendocino,Mendocino Unified,Mendocino High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,180,32,17.80%,42,23.30%,172,29,16.90%,39,22.70%,Y
2016-2017,23,65581,6025142,Mendocino,Mendocino Unified,Comptche Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,3,14,6,42.90%,7,50.00%,14,6,42.90%,7,50.00%,Y
2016-2017,23,65581,6025167,Mendocino,Mendocino Unified,Mendocino K-8,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,287,99,34.50%,116,40.40%,285,97,34.00%,114,40.00%,Y
2016-2017,23,65581,6116149,Mendocino,Mendocino Unified,Albion Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,3,9,5,55.60%,5,55.60%,9,5,55.60%,5,55.60%,Y
2016-2017,23,65599,2330108,Mendocino,Point Arena Joint Union High,South Coast Continuation,High School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,3,1,33.30%,1,33.30%,2,1,50.00%,1,50.00%,Y
2016-2017,23,65599,2333649,Mendocino,Point Arena Joint Union High,Point Arena High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,145,58,40.00%,79,54.50%,143,57,39.90%,78,54.50%,Y
2016-2017,23,65607,2330033,Mendocino,Round Valley Unified,Round Valley Continuation,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,15,6,40.00%,6,40.00%,14,6,42.90%,6,42.90%,Y
2016-2017,23,65607,2330272,Mendocino,Round Valley Unified,Eel River Charter,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,32,Directly funded,N,K,6,46,43,93.50%,45,97.80%,45,42,93.30%,44,97.80%,Y
2016-2017,23,65607,2334563,Mendocino,Round Valley Unified,Round Valley High,Unified School District,High Schools (Public),Traditional,CEP,No ,,,N,9,12,89,31,34.80%,31,34.80%,87,31,35.60%,31,35.60%,Y
2016-2017,23,65607,6025175,Mendocino,Round Valley Unified,Round Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,8,285,127,44.60%,127,44.60%,282,126,44.70%,126,44.70%,Y
2016-2017,23,65615,0,Mendocino,Ukiah Unified,District Office,Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2016-2017,23,65615,1,Mendocino,Ukiah Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,7,3,42.90%,3,42.90%,6,3,50.00%,3,50.00%,Y
2016-2017,23,65615,101147,Mendocino,Ukiah Unified,Grace Hudson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,458,270,59.00%,321,70.10%,445,263,59.10%,313,70.30%,Y
2016-2017,23,65615,115055,Mendocino,Ukiah Unified,River Oak Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,910,Directly funded,Y,K,8,239,61,25.50%,104,43.50%,232,60,25.90%,101,43.50%,Y
2016-2017,23,65615,128280,Mendocino,Ukiah Unified,Ukiah Independent Study Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,119,51,42.90%,60,50.40%,110,49,44.50%,56,50.90%,Y
2016-2017,23,65615,2330413,Mendocino,Ukiah Unified,Redwood Academy of Ukiah,Unified School District,High Schools (Public),Traditional,,Yes,271,Directly funded,Y,7,12,143,43,30.10%,59,41.30%,140,43,30.70%,58,41.40%,Y
2016-2017,23,65615,2330454,Mendocino,Ukiah Unified,Accelerated Achievement Academy,Unified School District,K-12 Schools (Public),Traditional,,Yes,439,Directly funded,Y,4,12,153,101,66.00%,123,80.40%,146,97,66.40%,119,81.50%,Y
2016-2017,23,65615,2334704,Mendocino,Ukiah Unified,South Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,141,103,73.00%,115,81.60%,117,88,75.20%,98,83.80%,Y
2016-2017,23,65615,2335024,Mendocino,Ukiah Unified,Ukiah High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1601,782,48.80%,979,61.10%,1560,763,48.90%,954,61.20%,Y
2016-2017,23,65615,6025183,Mendocino,Ukiah Unified,Calpella Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,4,459,284,61.90%,347,75.60%,443,274,61.90%,334,75.40%,Y
2016-2017,23,65615,6025191,Mendocino,Ukiah Unified,Frank Zeek Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,484,271,56.00%,331,68.40%,474,264,55.70%,322,67.90%,Y
2016-2017,23,65615,6025217,Mendocino,Ukiah Unified,Nokomis Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,401,328,81.80%,368,91.80%,389,321,82.50%,358,92.00%,Y
2016-2017,23,65615,6025225,Mendocino,Ukiah Unified,Oak Manor Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,485,381,78.60%,430,88.70%,475,374,78.70%,423,89.10%,Y
2016-2017,23,65615,6025233,Mendocino,Ukiah Unified,Pomolita Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,814,488,60.00%,595,73.10%,814,488,60.00%,595,73.10%,Y
2016-2017,23,65615,6025274,Mendocino,Ukiah Unified,Yokayo Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,520,302,58.10%,367,70.60%,508,296,58.30%,360,70.90%,Y
2016-2017,23,65615,6114581,Mendocino,Ukiah Unified,Eagle Peak Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,5,8,456,245,53.70%,302,66.20%,456,245,53.70%,302,66.20%,Y
2016-2017,23,65615,6117386,Mendocino,Ukiah Unified,Tree of Life Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,276,Directly funded,Y,K,8,98,40,40.80%,57,58.20%,96,40,41.70%,56,58.30%,Y
2016-2017,23,65623,112300,Mendocino,Willits Unified,La Vida Charter,Unified School District,K-12 Schools (Public),Traditional,,Yes,822,Directly funded,Y,K,12,80,35,43.80%,46,57.50%,75,33,44.00%,44,58.70%,Y
2016-2017,23,65623,125658,Mendocino,Willits Unified,Willits Elementary Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,1373,Directly funded,Y,K,5,144,65,45.10%,92,63.90%,144,65,45.10%,92,63.90%,Y
2016-2017,23,65623,2330066,Mendocino,Willits Unified,Sanhedrin High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,50,42,84.00%,45,90.00%,42,35,83.30%,38,90.50%,Y
2016-2017,23,65623,2330314,Mendocino,Willits Unified,New Horizons,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,41,19,46.30%,19,46.30%,41,19,46.30%,19,46.30%,Y
2016-2017,23,65623,2330363,Mendocino,Willits Unified,Willits Charter,Unified School District,K-12 Schools (Public),Traditional,,Yes,166,Directly funded,Y,6,12,121,64,52.90%,80,66.10%,120,64,53.30%,80,66.70%,Y
2016-2017,23,65623,2335487,Mendocino,Willits Unified,Willits High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,411,261,63.50%,304,74.00%,398,252,63.30%,293,73.60%,Y
2016-2017,23,65623,6025282,Mendocino,Willits Unified,Baechtel Grove Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,338,211,62.40%,247,73.10%,338,211,62.40%,247,73.10%,Y
2016-2017,23,65623,6025290,Mendocino,Willits Unified,Brookside Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,2,350,240,68.60%,283,80.90%,329,231,70.20%,267,81.20%,Y
2016-2017,23,65623,6104590,Mendocino,Willits Unified,Sherwood,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,25,19,76.00%,19,76.00%,25,19,76.00%,19,76.00%,Y
2016-2017,23,65623,6108369,Mendocino,Willits Unified,Blosser Lane Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,3,5,324,203,62.70%,230,71.00%,324,203,62.70%,230,71.00%,Y
2016-2017,23,73866,107250,Mendocino,Potter Valley Community Unified,Potter Valley Junior High,Unified School District,Junior High Schools (Public),Traditional,,No ,,,N,7,8,30,18,60.00%,24,80.00%,30,18,60.00%,24,80.00%,Y
2016-2017,23,73866,2330041,Mendocino,Potter Valley Community Unified,Potter Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,73,38,52.10%,48,65.80%,73,38,52.10%,48,65.80%,Y
2016-2017,23,73866,6025241,Mendocino,Potter Valley Community Unified,Potter Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,167,88,52.70%,109,65.30%,167,88,52.70%,109,65.30%,Y
2016-2017,23,73916,2330223,Mendocino,Laytonville Unified,Laytonville Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,Y
2016-2017,23,73916,2332260,Mendocino,Laytonville Unified,Laytonville High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,120,74,61.70%,80,66.70%,115,72,62.60%,78,67.80%,Y
2016-2017,23,73916,6025308,Mendocino,Laytonville Unified,Laytonville Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,258,183,70.90%,201,77.90%,256,182,71.10%,200,78.10%,Y
2016-2017,23,73916,6107866,Mendocino,Laytonville Unified,Spy Rock Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,14,3,21.40%,3,21.40%,13,3,23.10%,3,23.10%,Y
2016-2017,23,75218,2330207,Mendocino,Leggett Valley Unified,Whale Gulch High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,11,1,9.10%,2,18.20%,11,1,9.10%,2,18.20%,Y
2016-2017,23,75218,2332724,Mendocino,Leggett Valley Unified,Leggett Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,17,11,64.70%,13,76.50%,17,11,64.70%,13,76.50%,Y
2016-2017,23,75218,6025118,Mendocino,Leggett Valley Unified,Leggett Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,55,28,50.90%,36,65.50%,54,27,50.00%,35,64.80%,Y
2016-2017,23,75218,6111074,Mendocino,Leggett Valley Unified,Whale Gulch Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,36,7,19.40%,7,19.40%,35,7,20.00%,7,20.00%,Y
2016-2017,24,10249,1,Merced,Merced County Office of Education,"Nonpublic, Nonsectarian Schools",County Office of Education (COE),N/A,N/A,,N/A,N/A,N/A,N/A,,,9,9,100.00%,9,100.00%,9,9,100.00%,9,100.00%,Y
2016-2017,24,10249,106518,Merced,Merced County Office of Education,Merced Scholars Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,631,Locally funded,N,6,12,105,55,52.40%,72,68.60%,102,53,52.00%,70,68.60%,Y
2016-2017,24,10249,2430056,Merced,Merced County Office of Education,Merced County Juvenile Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,K,12,51,51,100.00%,51,100.00%,51,51,100.00%,51,100.00%,Y
2016-2017,24,10249,2430148,Merced,Merced County Office of Education,Valley Merced Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,K,12,235,197,83.80%,198,84.30%,190,161,84.70%,162,85.30%,Y
2016-2017,24,10249,2430163,Merced,Merced County Office of Education,Valley Los Banos Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,6,12,75,64,85.30%,66,88.00%,71,60,84.50%,62,87.30%,Y
